locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,country_code,location_type,hours_of_operation
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---ardmore.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-566,CoreLife Novant Health - Ardmore,2810 Maplewood Avenue,Winston-Salem,NC,27103,MG566,336-860-6194,36.079801,-80.29002,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---hewitt.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-563,CoreLife Novant Health - Hewitt,18-C Oak Branch Drive,Greensboro,NC,27407,MG563,336-579-2312,36.059532,-79.863259,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---highland-oaks.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-564,CoreLife Novant Health - Highland Oaks,730 Highland Oaks Drive,Winston-Salem,NC,27103,MG564,336-646-7323,36.061424,-80.303459,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---kernersville-gateway.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-562,CoreLife Novant Health - Kernersville Gateway,"500 Pineview Drive, Suite 205",Kernersville,NC,27284,MG562,336-329-3295,36.114365,-80.066691,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---salisbury.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-597,CoreLife Novant Health - Salisbury,501 N. Main Street,Salisbury,NC,28144,MG597,980-330-6808,35.670692,-80.465026,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---thomasville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-598,CoreLife Novant Health - Thomasville,"6329 Unity Street,Suite A",Thomasville,NC,27360,MG598,336-793-2518,35.873853,-80.042359,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/corelife-novant-health---village-point.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-565,CoreLife Novant Health - Village Point,6371 Jessie Lane,Clemmons,NC,27012,MG565,336-740-9060,36.041718,-80.387795,US,clinic and outpatient center,"Mon 7 AM - 5:30 PM, Thu 8:30 AM - 7 PM, Tue 8:30 AM - 7 PM, Wed 7 AM - 5:30 PM"
novanthealth.org,https://www.nhrmc.org/services/emergency/departments/orthopedic?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-18,Emergency Room - New Hanover Regional MC Orthopedic Hospital,5301 Wrightsville Ave,Wilmington,NC,28403,ER18,910-452-8100,34.21292,-77.862777,US,emergency room,Open 24 hours
novanthealth.org,https://www.nhrmc.org/services/emergency/departments/nhrmc?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-17,Emergency Room - New Hanover Regional Medical Center,2131 S. 17th Street,Wilmington,NC,28401,ER17,910-667-7000,34.206007,-77.921524,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/brunswick-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-01,Emergency Room - Novant Health Brunswick Medical Center,240 Hospital Dr. NE,Bolivia,NC,28422,ER01,910-721-1000,34.031277,-78.260251,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/clemmons-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-03,Emergency Room - Novant Health Clemmons Medical Center,6915 Village Medical Cir,Clemmons,NC,27012,ER03,336-893-1000,36.028584,-80.397285,US,emergency room,Open 24 hours
